ACCR, Agua Caliente Casino, Rancho Mirage
UHA, Horseshoe Hammond, Hammond
UIN, Horseshoe Indianapolis, Shelbyville
UTU, Horseshoe Tunica, Tunica Resorts
VENE, The Venetian Resort Las Vegas, Las Vegas
WCL, Caesars Windsor, Windsor
WHLI, Wheeling Island Hotel Casino Racetrack, Wheeling
WNHC, Wendover Nugget, West Wendover
WRIV, Win-River, Redding
WSTR, WinStar World Casino, Thackerville
WYNN, Wynn Las Vegas, Las Vegas
